Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Img Src,Img Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Price / International,Compare At Price / International,Status
,BEVERAGE CENTER,"BEVERAGE CENTER, CANNOT BE SOLD IN CALIFORNIA (8/3/21)",BLAZE,Parts,,,false,,,,,,,BLZ-30CKT-SNK,,,,,manual,1649.99,,,,,,,,,,,,,adult,818718012648.0,,,new,,,,,,,,grams,,1072.4935,1649.99,,draft
,BEVERAGE COOLER,"BEVERAGE COOLER, OUTDOOR RATED 5.5 CUBIC FEET, 24'' ",BLAZE,Parts,,,false,,,,,,,BLZ-GDBEV-5.5,,,,,manual,1829.99,,,,,,,,,,,,,adult,818718013522.0,,,new,,,,,,,,grams,,1189.4935,1829.99,,draft
,BUILT IN KIT,"BUILT IN KIT, 21'' (ELECTRIC)",BLAZE,Parts,,,false,,,,,,,BLZ-ELEC21-HGKT,,,,,manual,69.99,,,,,,,,,,,,,adult,818718013331.0,,,new,,,,,,,,grams,,45.4935,69.99,,draft
,CART,"CART, GRIDDLE 30'' ",BLAZE,Parts,,,false,,,,,,,BLZ-GRIDDLE-CT-SC,,,,,manual,825.99,,,,,,,,,,,,,adult,818718013775.0,,,new,,,,,,,,grams,,536.8935,825.99,,draft
,CART,"CART, KAMADO 20''",BLAZE,Parts,,,false,,,,,,,BLZ-KMDO2-CART,,,,,manual,249.99,,,,,,,,,,,,,adult,818718011382.0,,,new,,,,,,,,grams,,162.4935,249.99,,draft
,CART,"CART, PIZZA OVEN 26''",BLAZE,Parts,,,false,,,,,,,BLZ-26-PZOVN-CART,,,,,manual,699.99,,,,,,,,,,,,,adult,840351723643.0,,,new,,,,,,,,grams,,454.99350000000004,699.99,,draft
,CART,"CART, PROFESSIONAL 34'', w/ LIGHTS",BLAZE,Parts,,,false,,,,,,,BLZ-3PRO-CART-LTSC,,,,,manual,1299.99,,,,,,,,,,,,,adult,818718013669.0,,,new,,,,,,,,grams,,844.9935,1299.99,,draft
,CART,"CART, PROFESSIONAL 44'', w/ LIGHTS",BLAZE,Parts,,,false,,,,,,,BLZ-4PRO-CART-LTSC,,,,,manual,1579.99,,,,,,,,,,,,,adult,818718013683.0,,,new,,,,,,,,grams,,1026.9935,1579.99,,draft
,CART,"CART, TRADITIONAL / LTE 32'' ",BLAZE,Parts,,,false,,,,,,,BLZ-4-CART-SC,,,,,manual,649.99,,,,,,,,,,,,,adult,818718013676.0,,,new,,,,,,,,grams,,422.49350000000004,649.99,,draft
,CART,"CART, TRADITIONAL / LTE 40''",BLAZE,Parts,,,false,,,,,,,BLZ-5-CART-SC,,,,,manual,679.99,,,,,,,,,,,,,adult,818718013690.0,,,new,,,,,,,,grams,,441.99350000000004,679.99,,draft
,CART,"CART, TRADITIONAL 24'' ",BLAZE,Parts,,,false,,,,,,,BLZ-3-CART-SC,,,,,manual,589.99,,,,,,,,,,,,,adult,818718013645.0,,,new,,,,,,,,grams,,383.49350000000004,589.99,,draft
,COVER,"COVER, DBL SIDE BURNER, BUILT IN",BLAZE,Parts,,,false,,,,,,,2SBBICV,,,,,manual,34.99,,,,,,,,,,,,,adult,818718013454.0,,,new,,,,,,,,grams,,22.7435,34.99,,draft
,COVER,"COVER, GRIDDLE, BUILT IN",BLAZE,Parts,,,false,,,,,,,GRDBICV,,,,,manual,44.99,,,,,,,,,,,,,adult,818718013461.0,,,new,,,,,,,,grams,,29.2435,44.99,,draft
,COVER,"COVER, POWER BURNER, BUILT IN",BLAZE,Parts,,,false,,,,,,,PBBICV,,,,,manual,34.99,,,,,,,,,,,,,adult,818718013478.0,,,new,,,,,,,,grams,,22.7435,34.99,,draft
,COVER,"COVER, CART / GRILL 25''",BLAZE,Parts,,,false,,,,,,,3CTCV,,,,,manual,64.99,,,,,,,,,,,,,adult,818718010408.0,,,new,,,,,,,,grams,,42.2435,64.99,,draft
,COVER,"COVER, CART / GRILL 32''",BLAZE,Parts,,,false,,,,,,,4CTCV,,,,,manual,74.99,,,,,,,,,,,,,adult,818718010385.0,,,new,,,,,,,,grams,,48.7435,74.99,,draft
,COVER,"COVER, CART / GRILL 40''",BLAZE,Parts,,,false,,,,,,,5CTCV,,,,,manual,84.99,,,,,,,,,,,,,adult,818718010415.0,,,new,,,,,,,,grams,,55.2435,84.99,,draft
,COVER,"COVER, CART / PIZZA OVEN 26''",BLAZE,Parts,,,false,,,,,,,26-PZOVN-CTCV,,,,,manual,69.99,,,,,,,,,,,,,adult,840351723681.0,,,new,,,,,,,,grams,,45.4935,69.99,,draft
